"game_date","player","ast","blk","drb","fg","fg_pct","fga","ft","ft_pct","fta","gmsc","minutes_played","opponent","orb","pf","pts","result","stl","team","three_pa","three_pct","three_pm","tov","trb"
"2024-10-22","Al Horford","5","1","3","4","0.571","7","0","0","0","13","26.08","NYK","0","2","11","W","1","BOS","5","0.6","3","0","3"
"2024-10-22","Anthony Davis","4","3","13","11","0.478","23","13","0.867","15","34","37.58","MIN","3","1","36","W","1","LAL","3","0.333","1","1","16"
"2024-10-22","Anthony Edwards","3","0","6","10","0.4","25","2","0.667","3","11.8","41.07","LAL","0","3","27","L","0","MIN","13","0.385","5","4","6"
"2024-10-22","Ariel Hukporti","0","1","4","0","0","0","0","0","0","1.9","6.08","BOS","0","0","0","L","0","NYK","0","0","0","0","4"
"2024-10-22","Austin Reaves","4","1","5","6","0.429","14","0","0","1","11.4","36.03","MIN","4","4","12","W","1","LAL","5","0","0","0","9"
"2024-10-22","Bronny James","0","0","0","0","0","2","0","0","0","-0.7","2.68","MIN","1","0","0","W","0","LAL","1","0","0","0","1"
"2024-10-22","Cameron Payne","4","0","2","5","0.5","10","0","0","0","8.9","20.72","BOS","1","3","11","L","1","NYK","4","0.25","1","1","3"
"2024-10-22","D'Angelo Russell","5","0","1","4","0.333","12","0","0","0","6.2","34.22","MIN","0","2","9","W","2","LAL","7","0.143","1","1","1"
"2024-10-22","Dalton Knecht","2","0","1","2","0.5","4","0","0","0","4.3","15.78","MIN","0","1","5","W","1","LAL","3","0.333","1","1","1"
"2024-10-22","Derrick White","4","0","3","8","0.615","13","2","1","2","22.4","26.63","NYK","0","1","24","W","1","BOS","10","0.6","6","0","3"
"2024-10-22","Donte DiVincenzo","3","0","2","3","0.273","11","2","0.5","4","6.3","31.55","LAL","1","2","10","L","2","MIN","8","0.25","2","1","3"
"2024-10-22","Gabe Vincent","2","0","2","1","0.5","2","0","0","0","0.6","17.22","MIN","0","1","2","W","0","LAL","0","0","0","2","2"
"2024-10-22","Jacob Toppin","0","0","0","0","0","1","0","0","0","-0.7","2.78","BOS","0","0","0","L","0","NYK","1","0","0","0","0"
"2024-10-22","Jaden McDaniels","1","0","2","3","0.375","8","0","0","0","0.9","16","LAL","0","5","6","L","1","MIN","3","0","0","1","2"
"2024-10-22","Jalen Brunson","2","0","1","9","0.643","14","3","1","3","12.3","24.5","BOS","0","3","22","L","0","NYK","2","0.5","1","4","1"
"2024-10-22","Jaxson Hayes","0","1","1","4","0.8","5","2","1","2","10","15.33","MIN","3","3","10","W","0","LAL","0","0","0","0","4"
"2024-10-22","Jaylen Brown","1","0","5","7","0.389","18","4","1","4","15.6","29.9","NYK","2","3","23","W","1","BOS","9","0.556","5","1","7"
"2024-10-22","Jayson Tatum","10","1","4","14","0.778","18","1","0.5","2","38.1","30.3","NYK","0","1","37","W","1","BOS","11","0.727","8","1","4"
"2024-10-22","Jericho Sims","1","2","6","2","0.667","3","0","0","0","7.7","24.38","BOS","3","0","4","L","0","NYK","0","0","0","1","9"
"2024-10-22","Joe Ingles","1","0","0","0","0","1","0","0","0","-0.4","6.8","LAL","0","1","0","L","0","MIN","1","0","0","0","0"
"2024-10-22","Jordan Walsh","1","0","0","0","0","1","0","0","0","0","6.08","NYK","0","0","0","W","0","BOS","1","0","0","0","0"
"2024-10-22","Josh Hart","3","0","3","4","0.667","6","4","0.667","6","11.3","24.5","BOS","1","0","12","L","0","NYK","2","0","0","1","4"
"2024-10-22","Jrue Holiday","4","0","2","7","0.778","9","0","0","0","19.5","30.52","NYK","2","2","18","W","1","BOS","6","0.667","4","0","4"
"2024-10-22","Julius Randle","4","0","6","5","0.5","10","5","0.714","7","13.7","34.32","LAL","3","3","16","L","0","MIN","3","0.333","1","2","9"
"2024-10-22","Karl-Anthony Towns","3","0","7","5","0.556","9","1","1","1","11.5","23.62","BOS","0","1","12","L","0","NYK","2","0.5","1","0","7"
"2024-10-22","LeBron James","4","2","5","7","0.438","16","1","1","1","10.1","34.65","MIN","0","3","16","W","0","LAL","4","0.25","1","2","5"
"2024-10-22","Luke Kornet","1","1","1","2","0.667","3","0","0","0","6.8","19.32","NYK","2","0","4","W","1","BOS","0","0","0","0","3"
"2024-10-22","Max Christie","0","0","1","0","0","3","2","1","2","-1.1","11.42","MIN","1","5","2","W","0","LAL","3","0","0","0","2"
"2024-10-22","Mikal Bridges","2","0","0","7","0.538","13","0","0","1","9.7","34.62","BOS","0","0","16","L","0","NYK","7","0.286","2","1","0"
"2024-10-22","Mike Conley","2","0","2","1","0.143","7","3","1","3","1.5","20.22","LAL","2","1","5","L","1","MIN","5","0","0","3","4"
"2024-10-22","Miles McBride","2","0","0","8","0.8","10","2","0.667","3","17.8","25.85","BOS","0","1","22","L","0","NYK","5","0.8","4","1","0"
"2024-10-22","Naz Reid","1","0","3","3","0.375","8","4","1","4","7.7","26.35","LAL","1","3","12","L","0","MIN","4","0.5","2","1","4"
"2024-10-22","Neemias Queta","0","0","0","0","0","0","0","0","0","-0.4","4.33","NYK","0","1","0","W","0","BOS","0","0","0","0","0"
"2024-10-22","Nickeil Alexander-Walker","0","0","3","5","0.714","7","1","0.5","2","11","28.37","LAL","2","0","14","L","0","MIN","4","0.75","3","2","5"
"2024-10-22","OG Anunoby","3","0","5","1","0.143","7","2","1","2","2.9","34.17","BOS","0","3","4","L","1","NYK","4","0","0","0","5"
"2024-10-22","Pacome Dadiet","0","0","1","1","0.333","3","0","0","0","1.2","13.38","BOS","0","1","3","L","0","NYK","2","0.5","1","0","1"
"2024-10-22","Payton Pritchard","4","0","3","1","0.1","10","0","0","0","-1","24.97","NYK","1","2","3","W","0","BOS","9","0.111","1","1","4"
"2024-10-22","Rudy Gobert","2","1","11","5","0.625","8","3","0.75","4","13.9","35.33","LAL","3","4","13","L","0","MIN","0","0","0","1","14"
"2024-10-22","Rui Hachimura","1","1","2","7","0.5","14","3","0.75","4","15.9","35.08","MIN","3","2","18","W","2","LAL","4","0.25","1","0","5"
"2024-10-22","Sam Hauser","1","0","4","4","0.4","10","0","0","0","6.4","24.17","NYK","1","2","10","W","0","BOS","7","0.286","2","0","5"
"2024-10-22","Tyler Kolek","0","0","0","1","0.5","2","0","0","0","0","5.4","BOS","0","0","3","L","0","NYK","1","1","1","2","0"
"2024-10-22","Xavier Tillman","2","0","4","1","0.167","6","0","0","0","2.5","17.7","NYK","3","1","2","W","0","BOS","3","0","0","0","7"
"2024-10-23","A.J. Green","1","0","0","0","0","0","0","0","0","1.7","4.07","PHI","0","0","0","W","1","MIL","0","0","0","0","0"
"2024-10-23","AJ Johnson","0","0","0","0","0","1","0","0","0","-0.7","1.1","PHI","0","0","0","W","0","MIL","0","0","0","0","0"
"2024-10-23","Aaron Nesmith","0","1","1","2","0.5","4","2","1","2","7.1","18.75","DET","1","4","7","W","2","IND","2","0.5","1","0","2"
"2024-10-23","Adem Bona","0","0","0","1","1","1","0","0","0","2","2.65","MIL","1","1","2","L","0","PHI","0","0","0","0","1"
"2024-10-23","Alperen Sengun","5","1","12","10","0.455","22","3","0.75","4","25.4","33.87","CHO","6","2","25","L","4","HOU","3","0.667","2","3","18"
"2024-10-23","Amen Thompson","0","1","3","5","0.455","11","2","0.5","4","7.6","21.83","CHO","1","3","13","L","0","HOU","2","0.5","1","0","4"
"2024-10-23","Amir Coffey","1","0","3","4","1","4","1","0.5","2","11.2","25.82","PHO","0","2","11","L","1","LAC","2","1","2","0","3"
"2024-10-23","Andre Drummond","0","0","8","4","0.5","8","2","1","2","8.9","25.05","MIL","5","5","10","L","0","PHI","1","0","0","1","13"
"2024-10-23","Andre Jackson","0","0","0","0","0","0","0","0","0","0","1.1","PHI","0","0","0","W","0","MIL","0","0","0","0","0"
"2024-10-23","Andrew Nembhard","7","0","2","3","0.375","8","2","1","2","6.9","34.82","DET","0","3","8","W","1","IND","2","0","0","2","2"
"2024-10-23","Andrew Wiggins","2","0","2","8","0.533","15","0","0","0","14.3","23.07","POR","2","2","20","W","0","GSW","7","0.571","4","1","4"
"2024-10-23","Anfernee Simons","3","0","2","5","0.417","12","3","1","3","6.1","32.62","GSW","0","3","15","L","1","POR","7","0.286","2","5","2"
"2024-10-23","Anthony Black","4","0","2","4","0.444","9","1","0.333","3","9.9","27.9","MIA","4","2","10","W","0","ORL","2","0.5","1","0","6"
"2024-10-23","Antonio Reeves","0","0","0","0","0","3","0","0","0","-3.1","1","CHI","0","0","0","W","0","NOP","2","0","0","1","0"
"2024-10-23","Ayo Dosunmu","3","0","4","4","0.667","6","0","0","0","5.9","24.97","NOP","0","2","8","L","0","CHI","2","0","0","2","4"
"2024-10-23","Bam Adebayo","1","0","2","1","0.2","5","7","0.7","10","7.7","25.52","ORL","3","1","9","L","0","MIA","2","0","0","0","5"
"2024-10-23","Ben Sheppard","0","1","2","0","0","0","0","0","0","0.5","6.3","DET","0","2","0","W","0","IND","0","0","0","0","2"
"2024-10-23","Ben Simmons","8","1","3","3","0.75","4","0","0","0","5","24.2","ATL","2","5","6","L","0","BRK","0","0","0","6","5"
"2024-10-23","Bennedict Mathurin","1","0","5","5","0.625","8","7","0.778","9","13.3","27.68","DET","1","3","19","W","0","IND","3","0.667","2","3","6"
"2024-10-23","Bobby Portis","3","1","2","7","0.7","10","1","1","1","12.3","25.85","PHI","1","4","16","W","2","MIL","1","1","1","4","3"
"2024-10-23","Bogdan Bogdanović","2","2","2","2","0.333","6","2","1","2","4.8","27.83","BRK","0","3","8","W","0","ATL","6","0.333","2","2","2"
"2024-10-23","Bradley Beal","1","1","3","8","0.667","12","4","0.8","5","19.3","38.47","LAC","0","1","24","W","1","PHO","6","0.667","4","2","3"
"2024-10-23","Brandin Podziemski","4","0","3","0","0","5","0","0","0","-0.2","24.93","POR","4","3","0","W","1","GSW","4","0","0","3","7"
"2024-10-23","Brandon Clarke","1","0","2","1","0.2","5","0","0","0","-0.5","13.68","UTA","1","1","2","W","0","MEM","2","0","0","1","3"
"2024-10-23","Brandon Ingram","2","1","5","13","0.565","23","4","1","4","24.5","31.47","CHI","2","4","33","W","2","NOP","5","0.6","3","3","7"
"2024-10-23","Brandon Miller","1","0","0","2","0.5","4","1","1","1","5.4","10.73","HOU","1","0","6","W","1","CHO","2","0.5","1","1","1"
"2024-10-23","Brice Sensabaugh","0","0","0","1","0.5","2","1","0.5","2","4.6","12.32","MEM","2","1","3","L","2","UTA","0","0","0","0","2"
"2024-10-23","Brook Lopez","6","6","7","3","0.273","11","3","0.75","4","8.7","35.53","PHI","1","4","10","W","0","MIL","6","0.167","1","4","8"
"2024-10-23","Bruno Fernando","1","0","5","3","0.5","6","0","0","0","4","15.42","CLE","2","4","6","L","0","TOR","0","0","0","1","7"
"2024-10-23","Buddy Hield","1","0","4","8","0.667","12","1","1","1","17.6","14.73","POR","1","2","22","W","0","GSW","7","0.714","5","1","5"
"2024-10-23","CJ McCollum","5","1","2","9","0.474","19","0","0","0","18.7","29.95","CHI","0","1","23","W","1","NOP","11","0.455","5","0","2"
"2024-10-23","Cade Cunningham","8","0","5","10","0.435","23","6","1","6","21.2","36.53","IND","0","2","28","L","1","DET","6","0.333","2","2","5"
"2024-10-23","Caleb Houstan","0","0","1","0","0","0","0","0","0","-0.1","5.35","MIA","0","1","0","W","0","ORL","0","0","0","0","1"
"2024-10-23","Caleb Martin","3","1","5","5","0.5","10","2","1","2","9.5","37.45","MIL","4","4","12","L","0","PHI","1","0","0","3","9"
"2024-10-23","Cam Thomas","3","0","3","14","0.519","27","1","1","1","26.5","33.72","ATL","2","4","36","L","3","BRK","13","0.538","7","2","5"
"2024-10-23","Cam Whitmore","0","0","0","2","0.5","4","0","0","0","1.6","8.02","CHO","0","1","4","L","0","HOU","1","0","0","0","0"
"2024-10-23","Cameron Johnson","0","1","4","4","0.4","10","5","0.833","6","9.9","32.02","ATL","0","3","14","L","1","BRK","6","0.167","1","0","4"
"2024-10-23","Caris LeVert","4","0","1","8","0.889","9","1","0.5","2","18.2","20.63","TOR","0","1","19","W","0","CLE","2","1","2","0","1"
"2024-10-23","Chris Boucher","1","1","1","5","0.556","9","4","0.667","6","14.9","19.98","CLE","1","1","18","L","1","TOR","5","0.8","4","1","2"
"2024-10-23","Chris Duarte","0","0","0","1","1","1","0","0","0","2.7","1.77","NOP","0","0","3","L","0","CHI","1","1","1","0","0"
"2024-10-23","Clint Capela","1","1","6","3","0.6","5","0","0","0","7.6","19.52","BRK","1","0","6","W","1","ATL","0","0","0","1","7"
"2024-10-23","Coby White","6","1","8","4","0.308","13","2","1","2","6.4","34.78","NOP","0","1","10","L","1","CHI","5","0","0","4","8"
"2024-10-23","Cody Martin","1","1","5","2","0.333","6","3","0.75","4","8","23.52","HOU","3","3","8","W","0","CHO","4","0.25","1","0","8"
"2024-10-23","Cody Williams","0","0","4","0","0","0","2","1","2","0.6","19.47","MEM","0","4","2","L","0","UTA","0","0","0","1","4"
"2024-10-23","Cole Anthony","6","0","3","0","0","7","0","0","0","-2.6","17.5","MIA","0","2","0","W","0","ORL","5","0","0","2","3"
"2024-10-23","Collin Sexton","3","1","2","5","0.625","8","6","0.75","8","11.2","24.98","MEM","0","2","16","L","1","UTA","0","0","0","4","2"
"2024-10-23","Cory Joseph","0","0","0","0","0","2","0","0","0","-1.4","5.35","MIA","0","0","0","W","0","ORL","1","0","0","0","0"
"2024-10-23","Craig Porter","1","0","0","2","0.4","5","0","0","0","2","8.5","TOR","0","0","4","W","0","CLE","2","0","0","0","0"
"2024-10-23","Dalano Banton","1","0","1","1","0.25","4","0","0","0","1.6","8","GSW","0","0","3","L","0","POR","2","0.5","1","0","1"
"2024-10-23","Dalen Terry","0","0","0","0","0","0","0","0","0","1","1.77","NOP","0","0","0","L","1","CHI","0","0","0","0","0"
"2024-10-23","Damian Lillard","6","0","6","9","0.474","19","6","0.857","7","24.6","38.3","PHI","3","1","30","W","0","MIL","12","0.5","6","3","9"
"2024-10-23","Daniel Theis","3","3","2","3","0.6","5","2","1","2","9.7","18.52","CHI","0","2","8","W","2","NOP","1","0","0","2","2"
"2024-10-23","Darius Garland","6","0","1","3","0.25","12","0","0","0","0.7","22.7","TOR","0","4","7","W","0","CLE","6","0.167","1","2","1"
"2024-10-23","Davion Mitchell","3","0","0","4","0.4","10","0","0","0","1.7","24.55","CLE","0","0","8","L","2","TOR","3","0","0","5","0"
"2024-10-23","De'Andre Hunter","1","0","5","3","0.3","10","4","0.8","5","8.7","25.78","BRK","1","5","12","W","2","ATL","4","0.5","2","0","6"
"2024-10-23","De'Anthony Melton","4","0","2","4","0.364","11","1","0.5","2","8.7","19.1","POR","0","3","11","W","3","GSW","8","0.25","2","1","2"
"2024-10-23","Dean Wade","1","0","7","2","0.4","5","0","0","0","6.6","19.7","TOR","1","3","5","W","2","CLE","3","0.333","1","0","8"
"2024-10-23","Deandre Ayton","2","0","9","5","0.417","12","0","0","0","9.3","30.95","GSW","2","2","10","L","2","POR","2","0","0","1","11"
"2024-10-23","Dejounte Murray","10","0","8","4","0.267","15","6","0.857","7","14.1","29.98","CHI","0","0","14","W","1","NOP","3","0","0","1","8"
"2024-10-23","Delon Wright","0","0","0","1","0.333","3","0","0","0","1.3","13.15","PHI","0","0","2","W","1","MIL","1","0","0","0","0"
"2024-10-23","Deni Avdija","2","2","5","4","0.4","10","7","0.875","8","12.1","27.48","GSW","2","2","15","L","2","POR","3","0","0","4","7"
"2024-10-23","Dennis Schröder","7","0","3","5","0.313","16","1","0.5","2","3.6","34.33","ATL","0","4","13","L","1","BRK","6","0.333","2","5","3"
"2024-10-23","Derrick Jones","1","0","2","5","0.833","6","0","0","0","10.9","29","PHO","2","4","12","L","2","LAC","2","1","2","2","4"
"2024-10-23","Desmond Bane","4","1","4","8","0.4","20","4","1","4","16.3","27.08","UTA","0","4","24","W","1","MEM","10","0.4","4","1","4"
